filename;Ukrainian title;Transliterated title;Name in catalogue;year;collector;place;performer;number_of_voices; performer gender and age;Syllabic structure;Strophes;archive reference;original metadata;audio recording;additional remarks
Kmeln_ballads_591_Oi pidu ya v lis po drova;Ой піду я в ліс по дрова ;Oi pidu ya v lis po drova;13-БР-06;1978;Дем’ян Григорій;с. Лоївці Новушицького р-ну Хмельницької обл.;"Розова 
Маріа Василівна, 1930 р. н., Куцяк Олександра Миколаївна, 1922 р. н., Сухарева Марія Іллівна, 
1930 р. н.";2 voices;group of women;8+6;6st;"ІМФЕ, ф. 14-3, од. зб. 973, арк. 118 (текст), арк. 245 (мел.), № 83. Нотація Мишанича 
М. В.";"Зап. 22 липня 1978 р. Дем’ян Г. В. у с. Лоївці Новушицького р-ну Хмельницької обл. від Розової 
Марії Василівни, 1930 р. н., Куцяк Олександри Миколаївни, 1922 р. н. і Сухаревої Марії Іллівни, 
1930 р. н. – ІМФЕ, ф. 14-3, од. зб. 973, арк. 118 (текст), арк. 245 (мел.), № 83. Нотація Мишанича 
М. В. Вар. 1 зап. 1987 р. Гримич М. В. у с. Мокіївці Шепетівського р-ну Хмельницької обл. від 
Уланової Г. С., 1907 р. н. Мел. ред. Єфремова Л. О. – ІМФЕ, ф. 14-5, од. зб. 508, арк. 30, фоноза-
пис ф. 14-10, од. зб. 1677. Вар. 2 зап. 1987 р. Нагорний Л. С. у с. Баламутівка Ярмолинецького 
р-ну Хмельницької обл. від Адамчук М. А.";;
Kmeln_ballads_591v2_Oi pidu ya v lis po drova;Ой піду я в ліс по дрова;Oi pidu ya v lis po drova;13-БР-06;1987;Нагорний Л. С.;"с. Баламутівка Ярмолинецького 
р-ну Хмельницької обл.";Адамчук М. А.;2 voices;;8+6_r;6st;-;"Зап. 22 липня 1978 р. Дем’ян Г. В. у с. Лоївці Новушицького р-ну Хмельницької обл. від Розової 
Марії Василівни, 1930 р. н., Куцяк Олександри Миколаївни, 1922 р. н. і Сухаревої Марії Іллівни, 
1930 р. н. – ІМФЕ, ф. 14-3, од. зб. 973, арк. 118 (текст), арк. 245 (мел.), № 83. Нотація Мишанича 
М. В. Вар. 1 зап. 1987 р. Гримич М. В. у с. Мокіївці Шепетівського р-ну Хмельницької обл. від 
Уланової Г. С., 1907 р. н. Мел. ред. Єфремова Л. О. – ІМФЕ, ф. 14-5, од. зб. 508, арк. 30, фоноза-
пис ф. 14-10, од. зб. 1677. Вар. 2 зап. 1987 р. Нагорний Л. С. у с. Баламутівка Ярмолинецького 
р-ну Хмельницької обл. від Адамчук М. А.";;
Kmeln_ballads_593_Yak poikhav;Як поїхав;Yak poikhav;13-БР;1971;Шумада Наталя, Іванов В. Ф., Довженок Галина, Спінатьєв В. Т. ;м.Кам’янець-Подільський Хмельницької обл.;Стрілецька Параска Михайлівна, 1902 р. н. ;single;woman;4+6;4st;ІМФЕ, ф. 14-5, од. зб. 419, арк. 119-120, пл. ф. 14-10, од. зб. 1181 (3). ;"Зап. 19.V.1971 р. експ. ІМФЕ у складі: Шумада Н. С., Іванов В. Ф., Довженок Г. В., Спінатьєв В. Т. 
у м. Кам’янець-Подільський Хмельницької обл. від Стрілецької Параски Михайлівни, 1902 р. н. – 
ІМФЕ, ф. 14-5, од. зб. 419, арк. 119-120, пл. ф. 14-10, од. зб. 1181 (3). ";пл. ф. 14-10, од. зб. 1181 (3);
Kmeln_ballads_597v1_Bula sobi Hanzia;Була собі Ганзя;Bula sobi Hanzia;14-БР-03;1927;Харків Володимир;"с. Вітківці Жванецького р-ну Кам’янецької окр. (нині Кам’янець-Подільського 
р-ну Хмельницької обл.)";Шевчук Ольга;single;women;5+6;4st;ІМФЕ, ф.6-3, од.зб. 77, арк. 55 (45), № 75б. Чeрнетка;"Зап. 1971 р. Струтинський О. Д. від Осінської Броніслави Мартинівни з м. Шепетівка Шепетів-
ського р-ну Хмельницької обл. – ІМФЕ, ф. 14-3, од. зб. 860, арк. 177 зв.-178. Вар. 1 зап. 1927-1928 
рр. Харків В. Й. у с. Вітківці Жванецького р-ну Кам’янецької окр. (нині Кам’янець-Подільського 
р-ну Хмельницької обл.) від Шевчук Ольги. – ІМФЕ, ф.6-3, од.зб. 77, арк. 55 (45), № 75б. Чeрнет-
ка. Вар. 2 зап. 1927-1928 рр. Харків В. Й. у с. Вітківці від Дрегуш Дони. – ІМФЕ, ф.6-3, од.зб. 77, 
арк. 55 (45), № 75а. Чeрнетка.";;
Kmeln_ballads_597v2_Bula sobi Hanzia;Була собі Ганзя;Bula sobi Hanzia;14-БР-03;1927;Харків Володимир;"с. Вітківці Жванецького р-ну Кам’янецької окр. (нині Кам’янець-Подільського 
р-ну Хмельницької обл.)";Дрегуш Дона;single;women;5+6;4st;ІМФЕ, ф.6-3, од.зб. 77, арк. 55 (45), № 75а. Чeрнетка.;"Зап. 1971 р. Струтинський О. Д. від Осінської Броніслави Мартинівни з м. Шепетівка Шепетів-
ського р-ну Хмельницької обл. – ІМФЕ, ф. 14-3, од. зб. 860, арк. 177 зв.-178. Вар. 1 зап. 1927-1928 
рр. Харків В. Й. у с. Вітківці Жванецького р-ну Кам’янецької окр. (нині Кам’янець-Подільського 
р-ну Хмельницької обл.) від Шевчук Ольги. – ІМФЕ, ф.6-3, од.зб. 77, арк. 55 (45), № 75б. Чeрнет-
ка. Вар. 2 зап. 1927-1928 рр. Харків В. Й. у с. Вітківці від Дрегуш Дони. – ІМФЕ, ф.6-3, од.зб. 77, 
арк. 55 (45), № 75а. Чeрнетка.";;
Kmeln_ballads_598_Popalasia Hania;Попалася Ганя;Popalasia Hania;14-БР-03;1978;Зеленчук В. І.;с. Студениця Кам’янець-Подільського р-ну Хмельницької обл.;Мельник Ольга Тимофіївна;single;women;6+6;4st;ІМФЕ, ф. 14-3, од. зб. 973, арк. 199-200 (текст), арк. 261 (мел.), № 141. Нотація Мишанича М. В. ;"Зап. у липні 1978 р. Зеленчук В. І. у с. Студениця Кам’янець-Подільського р-ну Хмельницької обл. 
від Мельник Ольги Тимофіївни, 1904 р. н. – ІМФЕ, ф. 14-3, од. зб. 973, арк. 199-200 (текст), арк. 
261 (мел.), № 141. Нотація Мишанича М. В. ";;
Kmeln_ballads_599_A v poli bereza;А в полі береза;A v poli bereza;14-БР-04;1986;Дмитренко Микола;с. Яхнівці Волочиського р-ну Хмельницької обл.;Щесняк Н. І., 1944 р.н., Козак Н. В.,  Посполіта М. П., Дишльовська Ф. М.;2 voices;group of women;6+6_r;6st;Нотація Єфремової Л. О.;"Зап. 27 липня 1986 р. Дмитренко М. К. у с. Яхнівці Волочиського р-ну Хмельницької обл. від 
Щесняк Н. І., 1944 р.н., Козак Н. В.,  Посполіти М. П., Дишльовської Ф. М. Нотація Єфремової 
Л. О. Вар. 1 зап. 1987 р. Нагорний Л. С. у с. Баламутівка Ярмолинецького р-ну Хмельницької обл. 
від Руської Марії Іванівни. Вар. 2 зап. 1971 р. Іванов В. у с. Острівчани Кам'янець-Подільського 
р-ну Хмельницької обл. від Бабак Л. – ІМФЕ, ф. 14-3, од. зб. 1093, арк. 1, № 1. ";;
Kmeln_ballads_599v1_A v poli bereza;А в полі береза;A v poli bereza;14-БР-04;1987;Нагорний Л. С.;с. Баламутівка Ярмолинецького р-ну Хмельницької обл.;Руська Марія Іванівна;2 voices;woman;6+6_r;6st;-;"Зап. 27 липня 1986 р. Дмитренко М. К. у с. Яхнівці Волочиського р-ну Хмельницької обл. від 
Щесняк Н. І., 1944 р.н., Козак Н. В.,  Посполіти М. П., Дишльовської Ф. М. Нотація Єфремової 
Л. О. Вар. 1 зап. 1987 р. Нагорний Л. С. у с. Баламутівка Ярмолинецького р-ну Хмельницької обл. 
від Руської Марії Іванівни. Вар. 2 зап. 1971 р. Іванов В. у с. Острівчани Кам'янець-Подільського 
р-ну Хмельницької обл. від Бабак Л. – ІМФЕ, ф. 14-3, од. зб. 1093, арк. 1, № 1. ";;
Kmeln_ballads_599v2_A v poli bereza;А в полі береза;A v poli bereza;14-БР-04;1971;Іванов В.;с. Острівчани Кам'янець-Подільського р-ну Хмельницької обл.;Бабак Л.;2 voices;;6+6_r;6st;ІМФЕ, ф. 14-3, од. зб. 1093, арк. 1, № 1.;"Зап. 27 липня 1986 р. Дмитренко М. К. у с. Яхнівці Волочиського р-ну Хмельницької обл. від 
Щесняк Н. І., 1944 р.н., Козак Н. В.,  Посполіти М. П., Дишльовської Ф. М. Нотація Єфремової 
Л. О. Вар. 1 зап. 1987 р. Нагорний Л. С. у с. Баламутівка Ярмолинецького р-ну Хмельницької обл. 
від Руської Марії Іванівни. Вар. 2 зап. 1971 р. Іванов В. у с. Острівчани Кам'янець-Подільського 
р-ну Хмельницької обл. від Бабак Л. – ІМФЕ, ф. 14-3, од. зб. 1093, арк. 1, № 1. ";;
Kmeln_ballads_600_Chy rada ty, nenko;Чи рада ти, ненько;Chy rada ty, nenko;14-БР-04;1928;Харків Володимир;с. Борсуки Староушицького р-ну Кам’янецької окр. (нині Новоушицького р-ну Хмельницької обл.);Довгешко Ярина;single;woman;6+6+6;3st;"ІМФЕ, ф. 6-3, од. зб. 81, арк. 104 (121) 
(текст), арк. 105 (122) (мел.) № 23. Чeрнетка.";"Зап. [1928 р.] Харків В. Й. у с. Борсуки Староушицького р-ну Кам’янецької окр. (нині Новоушиць-
кого р-ну Хмельницької обл.) від Довгешко Ярини. – ІМФЕ, ф. 6-3, од. зб. 81, арк. 104 (121) 
(текст), арк. 105 (122) (мел.) № 23. Чeрнетка.";;
Kmeln_ballads_601_Chy rada ty, maty;Чи рада ти, мати;Chy rada ty, maty;14-БР-04;-;-;-;-;single;;6+6+6;3st;-;-;;
Kmeln_ballads_604_Oi za haiom zelenenkym;Ой за гаєм зелененьким;Oi za haiom zelenenkym;15-БР-05;1926;Гайдай Михайло;с. Адамівка біля Зінькова (нині Віньковецького р-ну);Федорук Ксенія;single;woman;8+8;2st;ІМФЕ, ф. 6-3, од. зб. 69, арк. 41-42 (21), № 63.;"Зап. 1926 р. Гайдай М. П. у с. Адамівка біля Зінькова (нині Віньковецького р-ну) від Ксенії Федо-
рук. – ІМФЕ, ф. 6-3, од. зб. 69, арк. 41-42 (21), № 63. Вар. 1 зап. 1918 р. Постоловський А. у с. Чор-
нокозинці Кам’янець-Подільського р-ну. – ІМФЕ, ф. 6-4, од. зб. 119, арк. 114, № 77. Вар. 2 зап. Ко-
нощенко А. у с. Калюс Новоушицького р-ну від Н. Коротана. – ІМФЕ, ф. 6-4, од. зб. 148, арк. 49,
№ 87. ";;
Kmeln_ballads_604v1_Oi za haiom zelenenkym;Ой за гаєм зелененьким;Oi za haiom zelenenkym;15-БР-05;1918;Постоловський А.;с.Чорнокозинці Кам’янець-Подільського р-ну;-;single;;8+8+8;3st; ІМФЕ, ф. 6-4, од. зб. 119, арк. 114, № 77.;"Зап. 1926 р. Гайдай М. П. у с. Адамівка біля Зінькова (нині Віньковецького р-ну) від Ксенії Федо-
рук. – ІМФЕ, ф. 6-3, од. зб. 69, арк. 41-42 (21), № 63. Вар. 1 зап. 1918 р. Постоловський А. у с. Чор-
нокозинці Кам’янець-Подільського р-ну. – ІМФЕ, ф. 6-4, од. зб. 119, арк. 114, № 77. Вар. 2 зап. Ко-
нощенко А. у с. Калюс Новоушицького р-ну від Н. Коротана. – ІМФЕ, ф. 6-4, од. зб. 148, арк. 49,
№ 87. ";;
